smiles,E2
C[N]1N=NC(=N1)N=NC2=CC=CC=C2,442.0
C[N]1C=NC(=N1)N=NC2=CC=CC=C2,438.0
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,425.0
C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,428.0
C[N]1C=C(C=N1)N=NC2=CC=CC=C2,417.0
C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,425.0
C[N]1N=CC=C1N=NC2=CC=CC=C2,425.0
C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,435.0
CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,410.0
CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,410.0
CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,430.0
CN1C(/N=N/C2=CC=CC=C2)=CC=C1,412.0
CN1C(/N=N/C2=CC=CC=C2)=NC=C1,417.0
CN(C=N1)C=C1/N=N/C2=CC=CC=C2,450.0
CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,413.0
CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,425.0
CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,424.0
CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,432.0
FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,448.0
FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,451.0
FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,456.0
FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,450.0
FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,456.0
FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,453.0
FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,453.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,469.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,460.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,460.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,456.0
C12=CC=CC=C1CCC3=CC=CC=C3/N=N\2,486.0
NC1=CC(/N=N\2)=C(CCC3=C2C=C(N)C=C3)C=C1,487.0
NC1=CC(CCC2=C3C=CC(N)=C2)=C(/N=N\3)C=C1,475.0
OCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CO)C=C3,485.0
OCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCO)C=C3)C=C1,487.0
[N-]=[N+]=NCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CN=[N+]=[N-])C=C3,484.0
[N-]=[N+]=NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN=[N+]=[N-])C=C3)C=C1,489.0
NCC1=CC(/N=N\2)=C(CCC3=C2C=C(CN)C=C3)C=C1,488.0
NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN)C=C3)C=C1,485.0
C=CC1=CC(/N=N\2)=C(CCC3=C2C=C(C=C)C=C3)C=C1,484.0
CC(C)(C)OCC1=CC(/N=N\2)=C(CCC3=C2C=C(COC(C)(C)C)C=C3)C=C1,487.0
CC(OCCC1=CC=C2CCC3=CC=C(CCOC(C)(C)C)C=C3/N=N\C2=C1)(C)C,488.0
CC(NC(C=C1)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2)=O,480.0
CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,490.0
COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,443.0
C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,448.0
CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,455.0
CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,453.0
CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,404.0
O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,450.0
O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,460.0
CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,418.0
CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,417.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,426.0
CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,426.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,418.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,430.0
CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,424.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,416.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,416.0
CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,412.0
CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,428.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,419.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,392.0
CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,421.0
CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,419.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,403.0
