smiles,Z2
C[N]1N=NC(=N1)N=NC2=CC=CC=C2,428.0
C[N]1C=NC(=N1)N=NC2=CC=CC=C2,434.0
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,422.0
C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,438.0
C[N]1C=C(C=N1)N=NC2=CC=CC=C2,403.0
C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,441.0
C[N]1N=CC=C1N=NC2=CC=CC=C2,430.0
C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,451.0
CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,405.0
CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,462.0
CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,479.0
CN1C(/N=N/C2=CC=CC=C2)=CC=C1,423.0
NC(C=C1)=CC=C1N=NC2=NNC=C2,452.0
COC(C=C1)=CC=C1N=NC2=NNC=C2,430.0
CC(C=C1)=CC=C1N=NC2=NNC=C2,430.0
C1(/N=N/C2=CC=NN2)=CC=NN1,430.0
[H]C(C=C1)=CC=C1N=NC2=NNC=C2,423.0
BrC(C=C1)=CC=C1N=NC2=NNC=C2,421.0
FC1=CC=CC=C1N=NC2=NNC=C2,421.0
O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,425.0
O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,422.0
CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,415.0
[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,418.0
CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,400.0
CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,422.0
CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,425.0
CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,426.0
FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,420.0
FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,419.0
FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,414.0
FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,414.0
FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,413.0
FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,413.0
FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,417.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,419.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,416.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,419.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,419.0
C12=CC=CC=C1CCC3=CC=CC=C3/N=N\2,402.0
NC1=CC(/N=N\2)=C(CCC3=C2C=C(N)C=C3)C=C1,401.0
NC1=CC(CCC2=C3C=CC(N)=C2)=C(/N=N\3)C=C1,400.0
OCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CO)C=C3,404.0
OCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCO)C=C3)C=C1,405.0
[N-]=[N+]=NCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CN=[N+]=[N-])C=C3,402.0
[N-]=[N+]=NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN=[N+]=[N-])C=C3)C=C1,405.0
NCC1=CC(/N=N\2)=C(CCC3=C2C=C(CN)C=C3)C=C1,405.0
NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN)C=C3)C=C1,400.0
C=CC1=CC(/N=N\2)=C(CCC3=C2C=C(C=C)C=C3)C=C1,403.0
CC(C)(C)OCC1=CC(/N=N\2)=C(CCC3=C2C=C(COC(C)(C)C)C=C3)C=C1,403.0
CC(OCCC1=CC=C2CCC3=CC=C(CCOC(C)(C)C)C=C3/N=N\C2=C1)(C)C,405.0
CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,450.0
COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,430.0
C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,440.0
CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,436.0
CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,442.0
IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,432.0
CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,400.0
O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,450.0
CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,442.0
CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,437.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,436.0
