,Substituents,SMILES,Solvent,PBE0,CAM-B3LYP,Experiment
0,None,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,ACN,339.0,324.0,316
1,4-Cl,ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,ACN,348.0,328.0,322
2,4-CN,N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,ACN,352.0,331.0,321
3,4-OH,OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,ACN,360.0,345.0,344
4,4-NH2,NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,ACN,392.0,376.0,382
5,4-NMe2,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,ACN,417.0,395.0,408
6,None,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,Alk,338.0,327.0,316
7,2-CF3,FC(F)(F)C1=CC=CC=C1/N=N/C2=CC=CC=C2,Alk,342.0,330.0,317
8,2-Me,CC1=CC=CC=C1/N=N/C2=CC=CC=C2,Alk,349.0,337.0,323
9,4-CF3,FC(F)(F)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,Alk,339.0,327.0,315
10,4-Me,CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,Alk,345.0,332.0,322
11,"2,2′-CF3",FC(F)(F)C1=C(/N=N/C2=C(C(F)(F)F)C=CC=C2)C=CC=C1,Alk,343.0,330.0,317
12,"2,2′-Me",CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,Alk,360.0,347.0,330
13,"2,6-Me",CC(C=CC=C1C)=C1/N=N/C2=CC=CC=C2,Alk,332.0,318.0,316
14,"4,4′-CF3",FC(F)(F)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,Alk,335.0,322.0,313
15,"4,4′-Me",CC1=CC=C(/N=N/C2=CC=C(C)C=C2)C=C1,Alk,351.0,339.0,326
