SMILES,Experiment,DFT,Solvent
OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,NaN,280,NaN
Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,263.5,280,NaN
Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,264,940,NaN
Clc1ccc(c(c1)Cl)OCCn1cncc1,245.2,254,NaN
COC(=O)C(CC(=O)O)(CC(=O)O)O,NaN,1666.666667,NaN
CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,242.5,931,NaN
COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,245.9,225,NaN
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,291.8,820,NaN
OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,345.9,943,NaN
CNc1ccc(cc1)O,280.5,254,NaN
Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,285.5,254,NaN
OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,249.8,267.6,NaN
OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,246.1,266.5,NaN
OC(=O)C(Cn1cnc2c1ncnc2S)N,255.8,321.4,NaN
OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,247.7,293.8,NaN
OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,246.7,296.1,NaN
OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,241.5,278,NaN
OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,267.6,342.2,NaN
COc1ccc2c(c1)oc(c2C)c1ccc(cc1O)O,279.1,254,NaN
[N-]=[N+]=NC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC)O)O)n1c2c3[nH]c4c(c3c3c(c2c2c1cccc2)c(=O)[nH]c3=O)cccc4,344.8,943,NaN
[O-][N+](=O)OCc1ccc(cc1)C(=O)NNC(=O)C1(C)CCc2c(O1)c(C)c(c(c2C)O)C,260.9,254,NaN
Oc1cc2oc(cc(=S)c2c(c1O)O)c1ccccc1,364.3,254,NaN
O=C(c1c(O)cc(c(c1O)O)O)C=Cc1ccccc1,317.9,254,NaN
O=C(c1c(O)cc(c(c1O)O)O)C=CC1CC=CC=C1,308.1,254,NaN
